Escenario,Pagesize (byte),Imagen (px),Mensaje (chars),Marcos,Hits,Misses,Tiempo (ns)
PageSize=256bytes, Imagen=256px, Mensaje=100 chars, Marcos=4, Hits=1745, Misses=5, Tiempo(ns)=50043625
PageSize=256bytes, Imagen=256px, Mensaje=100 chars, Marcos=8, Hits=1745, Misses=5, Tiempo(ns)=50043625
PageSize=256bytes, Imagen=256px, Mensaje=1000 chars, Marcos=4, Hits=17048, Misses=36, Tiempo(ns)=360426200
PageSize=256bytes, Imagen=256px, Mensaje=1000 chars, Marcos=8, Hits=17048, Misses=36, Tiempo(ns)=360426200
PageSize=256bytes, Imagen=256px, Mensaje=2000 chars, Marcos=4, Hits=34081, Misses=71, Tiempo(ns)=710852025
PageSize=256bytes, Imagen=256px, Mensaje=2000 chars, Marcos=8, Hits=34081, Misses=71, Tiempo(ns)=710852025
PageSize=256bytes, Imagen=256px, Mensaje=4000 chars, Marcos=4, Hits=68350, Misses=142, Tiempo(ns)=1421708750
PageSize=256bytes, Imagen=256px, Mensaje=4000 chars, Marcos=8, Hits=68350, Misses=142, Tiempo(ns)=1421708750
PageSize=256bytes, Imagen=256px, Mensaje=8000 chars, Marcos=4, Hits=134615, Misses=279, Tiempo(ns)=2793365375
PageSize=256bytes, Imagen=256px, Mensaje=8000 chars, Marcos=8, Hits=134615, Misses=279, Tiempo(ns)=2793365375
PageSize=256bytes, Imagen=426px, Mensaje=100 chars, Marcos=4, Hits=1745, Misses=5, Tiempo(ns)=50043625
PageSize=256bytes, Imagen=426px, Mensaje=100 chars, Marcos=8, Hits=1745, Misses=5, Tiempo(ns)=50043625
PageSize=256bytes, Imagen=426px, Mensaje=1000 chars, Marcos=4, Hits=17048, Misses=36, Tiempo(ns)=360426200
PageSize=256bytes, Imagen=426px, Mensaje=1000 chars, Marcos=8, Hits=17048, Misses=36, Tiempo(ns)=360426200
PageSize=256bytes, Imagen=426px, Mensaje=2000 chars, Marcos=4, Hits=34081, Misses=71, Tiempo(ns)=710852025
PageSize=256bytes, Imagen=426px, Mensaje=2000 chars, Marcos=8, Hits=34081, Misses=71, Tiempo(ns)=710852025
PageSize=256bytes, Imagen=426px, Mensaje=4000 chars, Marcos=4, Hits=68350, Misses=142, Tiempo(ns)=1421708750
PageSize=256bytes, Imagen=426px, Mensaje=4000 chars, Marcos=8, Hits=68350, Misses=142, Tiempo(ns)=1421708750
PageSize=256bytes, Imagen=426px, Mensaje=8000 chars, Marcos=4, Hits=134615, Misses=279, Tiempo(ns)=2793365375
PageSize=256bytes, Imagen=426px, Mensaje=8000 chars, Marcos=8, Hits=134615, Misses=279, Tiempo(ns)=2793365375
PageSize=512bytes, Imagen=256px, Mensaje=100 chars, Marcos=4, Hits=1747, Misses=3, Tiempo(ns)=30043675
PageSize=512bytes, Imagen=256px, Mensaje=100 chars, Marcos=8, Hits=1747, Misses=3, Tiempo(ns)=30043675
PageSize=512bytes, Imagen=256px, Mensaje=1000 chars, Marcos=4, Hits=17066, Misses=18, Tiempo(ns)=180426650
PageSize=512bytes, Imagen=256px, Mensaje=1000 chars, Marcos=8, Hits=17066, Misses=18, Tiempo(ns)=180426650
PageSize=512bytes, Imagen=256px, Mensaje=2000 chars, Marcos=4, Hits=34116, Misses=36, Tiempo(ns)=360852900
PageSize=512bytes, Imagen=256px, Mensaje=2000 chars, Marcos=8, Hits=34116, Misses=36, Tiempo(ns)=360852900
PageSize=512bytes, Imagen=256px, Mensaje=4000 chars, Marcos=4, Hits=68421, Misses=71, Tiempo(ns)=711710525
PageSize=512bytes, Imagen=256px, Mensaje=4000 chars, Marcos=8, Hits=68421, Misses=71, Tiempo(ns)=711710525
PageSize=512bytes, Imagen=256px, Mensaje=8000 chars, Marcos=4, Hits=134754, Misses=140, Tiempo(ns)=1403368850
PageSize=512bytes, Imagen=256px, Mensaje=8000 chars, Marcos=8, Hits=134754, Misses=140, Tiempo(ns)=1403368850
